Start Time,Sensor,Fault Type,Trial #,Attack Time,Avg Deviation (m),Max Deviation (m),Attack Result,Impact,Failsafe triggered?,Failsafe Type
,Gyro,short_circuit,2,5,0,0,Success,0,No,
,Gyro,short_circuit,3,5,0.02,0.28,Success,0,No,
20251203_205952,Gyro,short_circuit,1,10,0,0,Success,0,,
,Gyro,short_circuit,2,10,0.11,1.77,Success,0,No,
,Gyro,short_circuit,3,10,0.29,4.66,Success,1,No,
,Gyro,constant_deviation,1,2,8.97,28.24,Success,1,Yes,EKF Primary Changed
,Gyro,constant_deviation,2,2,1.38,4.62,Success,1,Yes,EKF Primary Changed
,Gyro,constant_deviation,3,2,1.16,3.06,Success,1,Yes,EKF Primary Changed
,Gyro,constant_deviation,1,5,3.96,8.43,Success,1,Yes,EKF Primary Changed
,Gyro,constant_deviation,2,5,1.78,14.24,Success,0,Yes,EKF Primary Changed
,Gyro,constant_deviation,3,5,1.54,5.11,Success,1,Yes,EKF Primary Changed
,Gyro,constant_deviation,1,10,3.92,8.81,Success,1,Yes,EKF Primary Changed
,Gyro,constant_deviation,2,10,3.19,12.07,Success,1,Yes,EKF Primary Changed
,Gyro,constant_deviation,3,10,5.7,27.03,Success,1,Yes,EKF Primary Changed
,Gyro,gradual_drift,1,2,2.08,27.73,Success,1,Yes,EKF Primary Changed
,Gyro,gradual_drift,2,2,15.98,44.22,Success,0,Yes,EKF Primary Changed
,Gyro,gradual_drift,3,2,1.13,7.91,Success,1,Yes,EKF Primary Changed
,Gyro,gradual_drift,1,5,23.56,79.36,Success,0,Yes,EKF Primary Changed
,Gyro,gradual_drift,2,5,1.35,7.29,Success,1,Yes,EKF Primary Changed
,Gyro,gradual_drift,3,5,2.08,9.54,Success,1,Yes,EKF Primary Changed
,Gyro,gradual_drift,1,10,0.38,6.38,Success,1,No,
,Gyro,gradual_drift,2,10,0.09,1.1,Success,1,No,
,Gyro,gradual_drift,3,10,0.1,1.06,Success,1,No,
20251203_212027,Mag,precision_damage,1,2,0,0,Success,0,No,
,Mag,precision_damage,2,2,0.05,0.12,Fail,0,No,
,Mag,precision_damage,3,2,0,0,Success,0,No,
20251203_212917,Mag,precision_damage,1,5,0.21,1.6,Success,0,No,
,Mag,precision_damage,2,5,0,0,Fail,0,No,
,Mag,precision_damage,3,5,0.17,2.79,Success,0,No,
20251203_213622,Mag,precision_damage,1,10,0.11,0.85,Fail,0,No,
,Mag,precision_damage,2,10,0,0,Fail,0,No,
,Mag,precision_damage,3,10,0,0.2,Fail,0,No,
20251203_214228,Mag,stuck,1,2,0.23,1.88,Success,0,No,
,Mag,stuck,2,2,0.14,1.57,Fail,0,No,
,Mag,stuck,3,2,0,0,Fail,0,No,
20251203_220228,Mag,stuck,1,5,0,0,Fail,0,No,
,Mag,stuck,2,5,0,0,Fail,0,No,
,Mag,stuck,3,5,0.03,0.05,Success,0,No,
20251203_221142,Mag,stuck,1,10,0,0,Fail,0,No,
,Mag,stuck,2,10,0,0,Fail,0,No,
,Mag,stuck,3,10,0.11,1.09,Fail,0,No,
20251203_221850,Mag,short_circuit,1,2,0,0,Fail,0,No,
,Mag,short_circuit,2,2,0.15,1.64,Fail,0,No,
,Mag,short_circuit,3,2,0.13,1.57,Fail,0,No,
20251203_222817,Mag,short_circuit,1,5,0,0,Fail,0,No,
,Mag,short_circuit,2,5,0.12,0.95,Fail,0,No,
,Mag,short_circuit,3,5,0.15,1.09,Fail,0,No,
20251203_223245,Mag,short_circuit,1,10,0,0,Fail,0,No,
,Mag,short_circuit,2,10,0.12,0.94,Fail,0,No,
,Mag,short_circuit,3,10,0.19,4.1,Fail,0,No,
,Mag,constant_deviation,1,2,0.15,0.95,Fail,0,No,
,Mag,constant_deviation,2,2,0.14,4.12,Fail,0,No,
,Mag,constant_deviation,3,2,0.16,3.03,Fail,0,No,
,Mag,constant_deviation,1,5,0.12,1.55,Fail,0,No,
,Mag,constant_deviation,2,5,0,0,Fail,0,No,
,Mag,constant_deviation,3,5,0.09,0.87,Fail,0,No,
,Mag,constant_deviation,1,10,0.15,1.65,Fail,0,No,
,Mag,constant_deviation,2,10,0.17,1.62,Fail,0,No,
,Mag,constant_deviation,3,10,0.19,1.68,Fail,0,No,
